tool_zh,tool_en,url,industry,quality,competitor,competitor_url,match_type,suggest_platform
PDF Rotate,PDF Rotate,https://chenguangwu.github.io/tools/office/pdf-rotate.html,office,A,Smallpdf,https://smallpdf.com,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
PDF Split,PDF Split,https://chenguangwu.github.io/tools/office/pdf-split.html,office,A,Smallpdf,https://smallpdf.com,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
PPM Convert,PPM Convert,https://chenguangwu.github.io/tools/quality/ppm-calculator.html,quality,A,行业资源页（quality工具清单）,"Google 搜: ""best free online quality tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Perpetual Calendar,Perpetual Calendar,https://chenguangwu.github.io/tools/legal/calendar.html,legal,A,行业资源页（法律工具清单）,"Google 搜: ""best free online legal tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Pet Age,Pet Age,https://chenguangwu.github.io/tools/pet/convert-25.html,pet,A,行业资源页（pet工具清单）,"Google 搜: ""best free online pet tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Pet Age Convert,Pet Age Convert,https://chenguangwu.github.io/tools/niche/convert-23.html,niche,A,行业资源页（niche工具清单）,"Google 搜: ""best free online niche tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Pet Age Convert,Pet Age Convert,https://chenguangwu.github.io/tools/pet/pet-age-converter.html,pet,A,Age Calculator / Calculator.net,https://www.calculator.net/age-calculator.html,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Physics Unit Convert,Physics Unit Convert,https://chenguangwu.github.io/tools/science/convert-power.html,science,A,行业资源页（科学工具清单）,"Google 搜: ""best free online science tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Plant Calendar,Plant Calendar,https://chenguangwu.github.io/tools/gardening/plant-calendar.html,gardening,A,行业资源页（gardening工具清单）,"Google 搜: ""best free online gardening tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Polar Day Night,Polar Day Night,https://chenguangwu.github.io/tools/science/polar-day-night.html,science,A,行业资源页（科学工具清单）,"Google 搜: ""best free online science tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Post Procedure Recovery,Post Procedure Recovery,https://chenguangwu.github.io/tools/cosmetic-derm/post-procedure-recovery.html,cosmetic-derm,A,行业资源页（cosmetic-derm工具清单）,"Google 搜: ""best free online cosmetic-derm tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Power Convert,Power Convert,https://chenguangwu.github.io/tools/life/power-converter.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Pressure Convert,Pressure Convert,https://chenguangwu.github.io/tools/life/pressure-converter.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Pressure Converter,Pressure Converter,https://chenguangwu.github.io/tools/science/science-pressure-converter.html,science,A,行业资源页（科学工具清单）,"Google 搜: ""best free online science tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Protein,Protein,https://chenguangwu.github.io/tools/food-testing/convert-37.html,food-testing,A,行业资源页（food-testing工具清单）,"Google 搜: ""best free online food-testing tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Quick Freeze Time,Quick Freeze Time,https://chenguangwu.github.io/tools/food-processing/quick-freeze-time.html,food-processing,A,行业资源页（food-processing工具清单）,"Google 搜: ""best free online food-processing tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
RC Time Constant Calculate,RC Time Constant Calculate,https://chenguangwu.github.io/tools/electronics/rc-time-constant.html,electronics,A,行业资源页（electronics工具清单）,"Google 搜: ""best free online electronics tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
RC Time Constant Calculator,RC Time Constant Calculator,https://chenguangwu.github.io/tools/science/rc-time-constant.html,science,A,行业资源页（科学工具清单）,"Google 搜: ""best free online science tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Radiation Converter,Radiation Converter,https://chenguangwu.github.io/tools/life/radiation-converter.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Reference Reference Format Convert,Reference Reference Format Convert,https://chenguangwu.github.io/tools/library/citation-format.html,library,A,行业资源页（library工具清单）,"Google 搜: ""best free online library tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Reminder 3,Reminder 3,https://chenguangwu.github.io/tools/funeral/reminder-3.html,funeral,A,行业资源页（funeral工具清单）,"Google 搜: ""best free online funeral tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Render Time,Render Time,https://chenguangwu.github.io/tools/film/render-time.html,film,A,行业资源页（film工具清单）,"Google 搜: ""best free online film tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Response Time,Response Time,https://chenguangwu.github.io/tools/service/response-time.html,service,A,行业资源页（service工具清单）,"Google 搜: ""best free online service tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Ring Size,Ring Size,https://chenguangwu.github.io/tools/jewelry/ring-size.html,jewelry,A,行业资源页（jewelry工具清单）,"Google 搜: ""best free online jewelry tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Ring Size Converter,Ring Size Converter,https://chenguangwu.github.io/tools/life/ring-size-converter.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Roman Numeral,Roman Numeral,https://chenguangwu.github.io/tools/life/roman-numeral.html,life,A,Roman Numerals Converter,https://www.rapidtables.com/convert/number/roman-numerals-converter.html,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Route Slope,Route Slope,https://chenguangwu.github.io/tools/road/convert-angle-slope.html,road,A,行业资源页（road工具清单）,"Google 搜: ""best free online road tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Routine Timer,Routine Timer,https://chenguangwu.github.io/tools/martial/routine-timer.html,martial,A,行业资源页（martial工具清单）,"Google 搜: ""best free online martial tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
SI Unit Converter,SI Unit Converter,https://chenguangwu.github.io/tools/science/si-unit-converter.html,science,A,Unit Converter / RapidTables,https://www.rapidtables.com/convert/,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Scale Converter,Scale Converter,https://chenguangwu.github.io/tools/surveying/scale-converter.html,surveying,A,行业资源页（surveying工具清单）,"Google 搜: ""best free online surveying tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Scientific Notation,Scientific Notation,https://chenguangwu.github.io/tools/misc/scientific-notation.html,misc,A,行业资源页（misc工具清单）,"Google 搜: ""best free online misc tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Seasoning Scaler,Seasoning Scaler,https://chenguangwu.github.io/tools/restaurant/seasoning-scaler.html,restaurant,A,行业资源页（restaurant工具清单）,"Google 搜: ""best free online restaurant tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Shoe Size,Shoe Size,https://chenguangwu.github.io/tools/misc2/shoe-size.html,misc2,A,行业资源页（misc2工具清单）,"Google 搜: ""best free online misc2 tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Shoe Size Converter,Shoe Size Converter,https://chenguangwu.github.io/tools/life/shoe-size-converter.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Slope - ( Percentage / Angle ) Convert,Slope - ( Percentage / Angle ) Convert,https://chenguangwu.github.io/tools/gis/convert-angle-slope-1.html,gis,A,行业资源页（gis工具清单）,"Google 搜: ""best free online gis tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Solar Radiation Calculator,Solar Radiation Calculator,https://chenguangwu.github.io/tools/meteorology/calc-84.html,meteorology,A,行业资源页（meteorology工具清单）,"Google 搜: ""best free online meteorology tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Solidification Time,Solidification Time,https://chenguangwu.github.io/tools/metallurgy/solidification-time.html,metallurgy,A,行业资源页（metallurgy工具清单）,"Google 搜: ""best free online metallurgy tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Sowing Date Calculator,Sowing Date Calculator,https://chenguangwu.github.io/tools/agriculture/calc-15.html,agriculture,A,行业资源页（agriculture工具清单）,"Google 搜: ""best free online agriculture tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Speed / Distance / Time Calculator,Speed / Distance / Time Calculator,https://chenguangwu.github.io/tools/science/calc-5.html,science,A,行业资源页（科学工具清单）,"Google 搜: ""best free online science tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Speed Convert,Speed Convert,https://chenguangwu.github.io/tools/life/speed-converter.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Speed Distance,Speed Distance,https://chenguangwu.github.io/tools/maritime/speed-distance.html,maritime,A,行业资源页（maritime工具清单）,"Google 搜: ""best free online maritime tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Staff Schedule,Staff Schedule,https://chenguangwu.github.io/tools/cleaning/staff-schedule.html,cleaning,A,行业资源页（cleaning工具清单）,"Google 搜: ""best free online cleaning tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Stats 4,Stats 4,https://chenguangwu.github.io/tools/medical/stats-4.html,medical,A,行业资源页（medical工具清单）,"Google 搜: ""best free online medical tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Stats Blink,Stats Blink,https://chenguangwu.github.io/tools/fun/stats-blink.html,fun,A,行业资源页（娱乐工具清单）,"Google 搜: ""best free online fun tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Stats Time Response,Stats Time Response,https://chenguangwu.github.io/tools/customer-service/stats-time-response.html,customer-service,A,行业资源页（customer-service工具清单）,"Google 搜: ""best free online customer-service tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Step Stride,Step Stride,https://chenguangwu.github.io/tools/fun/step-stride.html,fun,A,行业资源页（娱乐工具清单）,"Google 搜: ""best free online fun tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Stopwatch,Stopwatch,https://chenguangwu.github.io/tools/life/stopwatch.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Stretch Duration,Stretch Duration,https://chenguangwu.github.io/tools/rehabilitation/stretch-duration.html,rehabilitation,A,行业资源页（rehabilitation工具清单）,"Google 搜: ""best free online rehabilitation tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Sunrise Sunset,Sunrise Sunset,https://chenguangwu.github.io/tools/astronomy/sunrise-sunset.html,astronomy,A,行业资源页（astronomy工具清单）,"Google 搜: ""best free online astronomy tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Syrup Brix Converter,Syrup Brix Converter,https://chenguangwu.github.io/tools/food/syrup-brix-converter.html,food,A,行业资源页（food工具清单）,"Google 搜: ""best free online food tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Tactical Reload,Tactical Reload,https://chenguangwu.github.io/tools/ballistics/tactical-reload.html,ballistics,A,行业资源页（ballistics工具清单）,"Google 搜: ""best free online ballistics tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Temp Pressure,Temp Pressure,https://chenguangwu.github.io/tools/meteorology/temp-pressure.html,meteorology,A,行业资源页（meteorology工具清单）,"Google 搜: ""best free online meteorology tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Temp Time 2,Temp Time 2,https://chenguangwu.github.io/tools/agriculture/temp-time-2.html,agriculture,A,行业资源页（agriculture工具清单）,"Google 搜: ""best free online agriculture tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Temp Time 6,Temp Time 6,https://chenguangwu.github.io/tools/welding/temp-time-6.html,welding,A,行业资源页（welding工具清单）,"Google 搜: ""best free online welding tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Temp Time Concentration,Temp Time Concentration,https://chenguangwu.github.io/tools/general/temp-time-concentration.html,general,A,行业资源页（general工具清单）,"Google 搜: ""best free online general tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Temperature Converter,Temperature Converter,https://chenguangwu.github.io/tools/life/temperature-converter.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Thread Count,Thread Count,https://chenguangwu.github.io/tools/textile/thread-count.html,textile,A,行业资源页（textile工具清单）,"Google 搜: ""best free online textile tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Time 23,Time 23,https://chenguangwu.github.io/tools/cosmetic-derm/time-23.html,cosmetic-derm,A,行业资源页（cosmetic-derm工具清单）,"Google 搜: ""best free online cosmetic-derm tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Time 31,Time 31,https://chenguangwu.github.io/tools/sports/time-31.html,sports,A,行业资源页（sports工具清单）,"Google 搜: ""best free online sports tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Time 33,Time 33,https://chenguangwu.github.io/tools/general/time-33.html,general,A,行业资源页（general工具清单）,"Google 搜: ""best free online general tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Time 34,Time 34,https://chenguangwu.github.io/tools/leather/time-34.html,leather,A,行业资源页（leather工具清单）,"Google 搜: ""best free online leather tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Time 41,Time 41,https://chenguangwu.github.io/tools/fire-rescue/time-41.html,fire-rescue,A,行业资源页（fire-rescue工具清单）,"Google 搜: ""best free online fire-rescue tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Time Convert,Time Convert,https://chenguangwu.github.io/tools/life/time-converter.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Time Evacuation,Time Evacuation,https://chenguangwu.github.io/tools/fire-rescue/time-evacuation.html,fire-rescue,A,行业资源页（fire-rescue工具清单）,"Google 搜: ""best free online fire-rescue tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Time Format Convert,Time Format Convert,https://chenguangwu.github.io/tools/it/time-format-converter.html,it,A,行业资源页（IT/开发工具清单）,"Google 搜: ""best free online it tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Time Lux,Time Lux,https://chenguangwu.github.io/tools/fire-rescue/time-lux.html,fire-rescue,A,行业资源页（fire-rescue工具清单）,"Google 搜: ""best free online fire-rescue tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Time Stretch,Time Stretch,https://chenguangwu.github.io/tools/fitness/time-stretch.html,fitness,A,行业资源页（fitness工具清单）,"Google 搜: ""best free online fitness tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Time Zone Convert,Time Zone Convert,https://chenguangwu.github.io/tools/astronomy/convert-17.html,astronomy,A,行业资源页（astronomy工具清单）,"Google 搜: ""best free online astronomy tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Time Zone Convert,Time Zone Convert,https://chenguangwu.github.io/tools/edu/convert-1.html,edu,A,行业资源页（教育工具清单）,"Google 搜: ""best free online edu tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Timestamp Convert,Timestamp Convert,https://chenguangwu.github.io/tools/it/timestamp-converter.html,it,A,Epoch Converter,https://www.epochconverter.com,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Timestamp Convert,Timestamp Convert,https://chenguangwu.github.io/tools/life/timestamp.html,life,A,Epoch Converter,https://www.epochconverter.com,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Timezone Converter,Timezone Converter,https://chenguangwu.github.io/tools/edu/timezone-converter.html,edu,A,行业资源页（教育工具清单）,"Google 搜: ""best free online edu tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Tire Pressure Converter,Tire Pressure Converter,https://chenguangwu.github.io/tools/automotive/calc-3.html,automotive,A,行业资源页（automotive工具清单）,"Google 搜: ""best free online automotive tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Torque Converter,Torque Converter,https://chenguangwu.github.io/tools/science/torque-converter.html,science,A,行业资源页（科学工具清单）,"Google 搜: ""best free online science tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Triathlon Transition,Triathlon Transition,https://chenguangwu.github.io/tools/sports/triathlon-transition.html,sports,A,行业资源页（sports工具清单）,"Google 搜: ""best free online sports tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Unit Converter,Unit Converter,https://chenguangwu.github.io/tools/life/unit-converter.html,life,A,Unit Converter / RapidTables,https://www.rapidtables.com/convert/,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Unit Prefix Convert,Unit Prefix Convert,https://chenguangwu.github.io/tools/general/convert-22.html,general,A,行业资源页（general工具清单）,"Google 搜: ""best free online general tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Unit Prefix Convert,Unit Prefix Convert,https://chenguangwu.github.io/tools/misc/unit-prefix.html,misc,A,Unit Converter / RapidTables,https://www.rapidtables.com/convert/,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Video Fps,Video Fps,https://chenguangwu.github.io/tools/niche/video-fps.html,niche,A,行业资源页（niche工具清单）,"Google 搜: ""best free online niche tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Vo2max 12min,Vo2max 12min,https://chenguangwu.github.io/tools/fitness/vo2max-12min.html,fitness,A,行业资源页（fitness工具清单）,"Google 搜: ""best free online fitness tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Volume Convert,Volume Convert,https://chenguangwu.github.io/tools/life/volume-converter.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Wavelength to RGB,Wavelength to RGB,https://chenguangwu.github.io/tools/science/wavelength-to-rgb.html,science,A,行业资源页（科学工具清单）,"Google 搜: ""best free online science tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Wedding Car Route,Wedding Car Route,https://chenguangwu.github.io/tools/wedding/wedding-car-route.html,wedding,A,行业资源页（wedding工具清单）,"Google 搜: ""best free online wedding tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Wedding Flowers,Wedding Flowers,https://chenguangwu.github.io/tools/floral/wedding-flowers.html,floral,A,行业资源页（floral工具清单）,"Google 搜: ""best free online floral tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Weight Convert,Weight Convert,https://chenguangwu.github.io/tools/life/weight-converter.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Wine Alcohol Converter,Wine Alcohol Converter,https://chenguangwu.github.io/tools/food/wine-alcohol-converter.html,food,A,行业资源页（food工具清单）,"Google 搜: ""best free online food tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Wire Gauge Converter,Wire Gauge Converter,https://chenguangwu.github.io/tools/science/wire-gauge-converter.html,science,A,行业资源页（科学工具清单）,"Google 搜: ""best free online science tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Withdrawal Period,Withdrawal Period,https://chenguangwu.github.io/tools/livestock/withdrawal-period.html,livestock,A,行业资源页（livestock工具清单）,"Google 搜: ""best free online livestock tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Word Count Pages,Word Count Pages,https://chenguangwu.github.io/tools/edu/word-count-pages.html,edu,A,WordCounter,https://wordcounter.net,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Workday Calculator,Workday Calculator,https://chenguangwu.github.io/tools/life/workday-calculator.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
World Clock,World Clock,https://chenguangwu.github.io/tools/life/world-clock.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
World Timezone Converter,World Timezone Converter,https://chenguangwu.github.io/tools/travel/world-timezone-converter.html,travel,A,行业资源页（旅行工具清单）,"Google 搜: ""best free online travel tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
YAML JSON,YAML JSON,https://chenguangwu.github.io/tools/life/yaml-json.html,life,A,JSON Formatter / jsonformatter.org,https://jsonformatter.org,单工具竞品,站级(alternative.to/PH) + 资源页可引用竞品
Yarn Count,Yarn Count,https://chenguangwu.github.io/tools/textile/yarn-count.html,textile,A,行业资源页（textile工具清单）,"Google 搜: ""best free online textile tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Zodiac Calculator,Zodiac Calculator,https://chenguangwu.github.io/tools/life/zodiac-calculator.html,life,A,行业资源页（生活工具清单）,"Google 搜: ""best free online life tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
AQI Health Level,AQI Health Level,https://chenguangwu.github.io/tools/eco/aqi.html,eco,A,行业资源页（环保工具清单）,"Google 搜: ""best free online eco tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Aerator Run-Time Estimator (Dissolved Oxygen Model),Aerator Run-Time Estimator (Dissolved Oxygen Model),https://chenguangwu.github.io/tools/fishery/zengyangjikaiqishichang-rongyangxiajiangmoxing.html,fishery,A,行业资源页（fishery工具清单）,"Google 搜: ""best free online fishery tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Afforestation Cost,Afforestation Cost,https://chenguangwu.github.io/tools/eco/afforestation-cost.html,eco,A,行业资源页（环保工具清单）,"Google 搜: ""best free online eco tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Analysis 17,Analysis 17,https://chenguangwu.github.io/tools/gis/analysis-17.html,gis,A,行业资源页（gis工具清单）,"Google 搜: ""best free online gis tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Analysis 2,Analysis 2,https://chenguangwu.github.io/tools/psychology/analysis-2.html,psychology,A,行业资源页（psychology工具清单）,"Google 搜: ""best free online psychology tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Analysis 20,Analysis 20,https://chenguangwu.github.io/tools/sports/analysis-20.html,sports,A,行业资源页（sports工具清单）,"Google 搜: ""best free online sports tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Analysis 35,Analysis 35,https://chenguangwu.github.io/tools/mold/analysis-35.html,mold,A,行业资源页（mold工具清单）,"Google 搜: ""best free online mold tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Analysis Cycle 1,Analysis Cycle 1,https://chenguangwu.github.io/tools/warehouse/analysis-cycle-1.html,warehouse,A,行业资源页（warehouse工具清单）,"Google 搜: ""best free online warehouse tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Analysis Simulator,Analysis Simulator,https://chenguangwu.github.io/tools/mold/analysis-simulator.html,mold,A,行业资源页（mold工具清单）,"Google 搜: ""best free online mold tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Angle 1,Angle 1,https://chenguangwu.github.io/tools/woodwork/angle-1.html,woodwork,A,行业资源页（woodwork工具清单）,"Google 搜: ""best free online woodwork tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Angle Cut,Angle Cut,https://chenguangwu.github.io/tools/woodworking/angle-cut.html,woodworking,A,行业资源页（woodworking工具清单）,"Google 搜: ""best free online woodworking tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Ap Coverage,Ap Coverage,https://chenguangwu.github.io/tools/telecom/ap-coverage.html,telecom,A,行业资源页（telecom工具清单）,"Google 搜: ""best free online telecom tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Archery Dispersion Radius Calculator,Archery Dispersion Radius Calculator,https://chenguangwu.github.io/tools/sports/shejiansanbubanjing.html,sports,A,行业资源页（sports工具清单）,"Google 搜: ""best free online sports tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Area 12,Area 12,https://chenguangwu.github.io/tools/cosmetic-derm/area-12.html,cosmetic-derm,A,行业资源页（cosmetic-derm工具清单）,"Google 搜: ""best free online cosmetic-derm tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Area 18,Area 18,https://chenguangwu.github.io/tools/forestry/area-18.html,forestry,A,行业资源页（forestry工具清单）,"Google 搜: ""best free online forestry tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Area 20,Area 20,https://chenguangwu.github.io/tools/leather/area-20.html,leather,A,行业资源页（leather工具清单）,"Google 搜: ""best free online leather tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Area 24,Area 24,https://chenguangwu.github.io/tools/surveying/area-24.html,surveying,A,行业资源页（surveying工具清单）,"Google 搜: ""best free online surveying tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Area 25,Area 25,https://chenguangwu.github.io/tools/surveying/area-25.html,surveying,A,行业资源页（surveying工具清单）,"Google 搜: ""best free online surveying tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Area Calculate,Area Calculate,https://chenguangwu.github.io/tools/surveying/area-calc.html,surveying,A,行业资源页（surveying工具清单）,"Google 搜: ""best free online surveying tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Area Capacity,Area Capacity,https://chenguangwu.github.io/tools/hydraulic/area-capacity.html,hydraulic,A,行业资源页（hydraulic工具清单）,"Google 搜: ""best free online hydraulic tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Area Shared,Area Shared,https://chenguangwu.github.io/tools/property/area-shared.html,property,A,行业资源页（property工具清单）,"Google 搜: ""best free online property tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Arithmetic Mean Math,Arithmetic Mean Math,https://chenguangwu.github.io/tools/math/arithmetic-mean-math.html,math,A,行业资源页（math工具清单）,"Google 搜: ""best free online math tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Arithmetic Series Sum,Arithmetic Series Sum,https://chenguangwu.github.io/tools/math/arithmetic-series-sum.html,math,A,行业资源页（math工具清单）,"Google 搜: ""best free online math tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Aspheric Design,Aspheric Design,https://chenguangwu.github.io/tools/optical/aspheric-design.html,optical,A,行业资源页（optical工具清单）,"Google 搜: ""best free online optical tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
Aspheric Surface (Spherical Aberration) Calculator,Aspheric Surface (Spherical Aberration) Calculator,https://chenguangwu.github.io/tools/optical/calc-47.html,optical,A,行业资源页（optical工具清单）,"Google 搜: ""best free online optical tools"" + ""add your site""",行业资源页,资源页 link building（按行业找清单页投稿）
